W0322 12:40:07.688000 140391747561280 torch/distributed/run.py:779] 
W0322 12:40:07.688000 140391747561280 torch/distributed/run.py:779] *****************************************
W0322 12:40:07.688000 140391747561280 torch/distributed/run.py:779] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0322 12:40:07.688000 140391747561280 torch/distributed/run.py:779] *****************************************
> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-arxiv/microsoft/deberta-base-seed0.emb
768
768
768
ogbn-arxiv load and processed successfully
Train nodes: 90941, Val nodes: 29799, Test nodes: 48603
Num of train batches: 1, num of train microbatches: 4, microbatch size: 42335
768

Number of parameters: 11648936
stage=3 layers=84 - 112

Number of parameters: 11648936
stage=1 layers=28 - 56

Number of parameters: 11648936
stage=0 layers=0 - 28

Number of parameters: 11648936
stage=2 layers=56 - 84
[12:40:13] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[12:40:14] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[12:40:14] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[12:40:14] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[12:40:14] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[12:40:14] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[12:40:14] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[12:40:15] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[12:40:15] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[12:40:15] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[12:40:15] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[12:40:15] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[12:40:15] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
[12:40:15] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
revgnn start time: 2025-03-22 12:40:16.212
[12:40:16] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
revgnn start time: 2025-03-22 12:40:16.344
[12:40:16] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
revgnn start time: 2025-03-22 12:40:16.746
Training...
revgnn start time: 2025-03-22 12:40:16.995
Epoch 00000 | Loss 3.8232 | Epoch Time 3.26s
Epoch 00045 | Loss 0.9810 | Avg Epoch Time 3.7423s
Epoch 00045 | Valid acc: 72.14% | Test acc: 70.79%
Epoch 00046 | Loss 0.9590 | Avg Epoch Time 3.7257s
Epoch 00047 | Loss 0.9520 | Avg Epoch Time 3.7108s
Epoch 00048 | Loss 0.9488 | Avg Epoch Time 3.6971s
Epoch 00049 | Loss 0.9411 | Avg Epoch Time 3.6838s
Epoch 00050 | Loss 0.9300 | Avg Epoch Time 3.6713s
Epoch 00050 | Valid acc: 72.19% | Test acc: 70.09%
Epoch 00051 | Loss 0.9305 | Avg Epoch Time 3.6584s
Epoch 00052 | Loss 0.9219 | Avg Epoch Time 3.6468s
Epoch 00053 | Loss 0.9216 | Avg Epoch Time 3.6362s
Epoch 00054 | Loss 0.9222 | Avg Epoch Time 3.6259s
Epoch 00055 | Loss 0.9181 | Avg Epoch Time 3.6159s
Epoch 00055 | Valid acc: 72.47% | Test acc: 70.49%
Epoch 00056 | Loss 0.9112 | Avg Epoch Time 3.6052s
Epoch 00057 | Loss 0.9021 | Avg Epoch Time 3.5959s
Epoch 00058 | Loss 0.9022 | Avg Epoch Time 3.5870s
Epoch 00059 | Loss 0.9019 | Avg Epoch Time 3.5783s
Epoch 00060 | Loss 0.8917 | Avg Epoch Time 3.5699s
Epoch 00060 | Valid acc: 72.67% | Test acc: 71.04%
Epoch 00061 | Loss 0.8934 | Avg Epoch Time 3.5611s
Epoch 00062 | Loss 0.8889 | Avg Epoch Time 3.5550s
Epoch 00063 | Loss 0.8805 | Avg Epoch Time 3.5477s
Epoch 00064 | Loss 0.8795 | Avg Epoch Time 3.5406s
Epoch 00065 | Loss 0.8703 | Avg Epoch Time 3.5334s
Epoch 00065 | Valid acc: 72.36% | Test acc: 70.60%
Epoch 00066 | Loss 0.8687 | Avg Epoch Time 3.5259s
Epoch 00067 | Loss 0.8654 | Avg Epoch Time 3.5193s
Epoch 00068 | Loss 0.8597 | Avg Epoch Time 3.5130s
Epoch 00069 | Loss 0.8567 | Avg Epoch Time 3.5068s
Epoch 00070 | Loss 0.8552 | Avg Epoch Time 3.5009s
Epoch 00070 | Valid acc: 72.79% | Test acc: 71.02%
Epoch 00071 | Loss 0.8511 | Avg Epoch Time 3.4942s
Epoch 00072 | Loss 0.8501 | Avg Epoch Time 3.4887s
Epoch 00073 | Loss 0.8431 | Avg Epoch Time 3.4834s
Epoch 00074 | Loss 0.8445 | Avg Epoch Time 3.4781s
Epoch 00075 | Loss 0.8403 | Avg Epoch Time 3.4728s
Epoch 00075 | Valid acc: 72.51% | Test acc: 70.75%
Epoch 00076 | Loss 0.8381 | Avg Epoch Time 3.4673s
Epoch 00077 | Loss 0.8360 | Avg Epoch Time 3.4624s
Epoch 00078 | Loss 0.8339 | Avg Epoch Time 3.4574s
Epoch 00079 | Loss 0.8344 | Avg Epoch Time 3.4527s
Epoch 00080 | Loss 0.8367 | Avg Epoch Time 3.4483s
Epoch 00080 | Valid acc: 72.29% | Test acc: 70.22%
Epoch 00081 | Loss 0.8454 | Avg Epoch Time 3.4431s
Epoch 00082 | Loss 0.8418 | Avg Epoch Time 3.4390s
Epoch 00083 | Loss 0.8350 | Avg Epoch Time 3.4347s
Epoch 00084 | Loss 0.8343 | Avg Epoch Time 3.4307s
Epoch 00085 | Loss 0.8292 | Avg Epoch Time 3.4269s
